,grid_mean_test,grid_std_test,cv_test_r2_mean,cv_test_r2_std,cv_train_r2_mean,cv_train_r2_std,cv_test_mse_mean,cv_test_mse_std,cv_train_mse_mean,cv_train_mse_std,cv_test_mae_mean,cv_test_mae_std,cv_train_mae_mean,cv_train_mae_std
LinearRegression,0.703280819061746,0.013487668249284428,0.703280819061746,0.013487668249284428,0.7074389454137052,0.0009649345682733012,28627422105.42464,3186538235.169887,28283167957.79549,323344123.1345141,114130.82530402094,3306.0805600491585,113540.03010771862,507.8329062873237
Ridge,0.7032856350033814,0.013526006274073016,0.7032856350033814,0.013526006274073016,0.7074342571379686,0.0009651302875823642,28626776613.62858,3186942934.727397,28283621077.50663,323343791.78357655,114124.03622605787,3303.8819688748795,113535.57656357065,507.6678620037302
Lasso,0.7032808141194407,0.013487722021399346,0.7032808141194407,0.013487722021399346,0.707438945390817,0.0009649345685877873,28627422222.47445,3186538506.8485184,28283167960.007923,323344123.14161766,114130.79461652029,3306.0813771505286,113539.99940157871,507.83260159252194
ElasticNet,0.7009483422898495,0.014079800646821237,0.7009483422898495,0.014079800646821237,0.7048437679140882,0.0010304707569468313,28849835665.978813,3213278759.1955237,28534013511.300068,324098202.72852415,114074.0731044504,3270.0611832664667,113529.89688409252,500.17042227389663
KNeighborsRegressor,0.8108592783117627,0.012743667082313502,0.8108592783117627,0.012743667082313502,0.9988422815757249,6.44917469070466e-05,18222304007.923424,2015481120.8632653,111869225.82073557,5386363.195792784,80690.04550750817,3195.3694633217788,1074.2874927140263,39.70338088763915
RandomForestRegressor,0.8731600824675981,0.007917828964601551,0.8731901406965052,0.007859512315387413,0.9823622895622701,0.00023150293279756507,12196100737.414093,1081388887.3918695,1704937560.283053,15560397.793336598,66196.8061084525,1522.081671192428,24519.278745188578,138.454857761712
LinearSVR,0.5591902337940531,0.019132852475059546,0.5593600624703838,0.019197976931016426,0.5608752974538855,0.001544973743420442,42566373500.785385,5079562385.185511,42452371574.46384,509754008.3394928,123144.2063850206,4532.5878667930965,122955.15937394937,487.6447703403862
KerasRegressor,0.830375743085374,0.0250668698387263,0.8422302597019147,0.02026797146765717,0.8474577268965768,0.02263842886512446,15237872074.33191,2547734680.626608,14739899943.680302,2147766217.546945,78124.10240853282,5766.624735475508,77330.21138335529,5707.5925642339025
XGBRegressor,0.8973067432000844,0.007241557864089539,0.8973067432000844,0.007241557864089539,0.9703085986759108,0.0004949286619199706,9874392477.884594,919145207.876912,2870040818.2408323,34915968.719859846,61097.71834205419,1467.672818120258,38299.87099926498,239.00523476873684
